course ID, name, length, teacher, possible days, possible start time
A101,Adaptive Systems,120,Doya,,
A101,Adaptive Systems,120,Doya,,
A103,Stochastic Processes and Applications,120, Pigolotti,,
A103,Stochastic Processes and Applications,120, Pigolotti,,
A205,Quantum Field Theory,120,Hikami,,
A215,Advanced Experimental Chemistry - Laboratory of Materials Chemistry,180,Zhang,,
A215,Advanced Experimental Chemistry - Laboratory of Materials Chemistry,180,Zhang,,
A223,Quantum Materials Science,120,Okada,,
A223,Quantum Materials Science,120,Okada,,
A304,Evolutionary Developmental Biology,120,Satoh,,
A304,Evolutionary Developmental Biology,180,Satoh,,
A308,Epigenetics,120,Saze,,
A308,Epigenetics,120,Saze,,
A312,Sensory Systems,120,Fukunaga,,
A312,Sensory Systems,120,Fukunaga,,
A405,Emerging Technologies in Life Sciences,120,Maruyama,,
A405,Emerging Technologies in Life Sciences,120,Maruyama,,
A407,Special Topics,180,Mahesh Bandi,,
A407,Special Topics,150,Mahesh Bandi,,
A409,Electron Microscopy,60,Wolf,,
A409,Electron Microscopy,180,Wolf,,
B05,Neurobiology,120,Takahashi,1,
B05,Neurobiology,180,Takahashi,1,
B25,Statistical Mechanics,60,Toriumi,,
B25,Statistical Mechanics,60,Toriumi,,
B25,Statistical Mechanics,120,Toriumi,,
B13,Theoretical and Applied Fluid Mechanics,120,Chakraborty,,
B13,Theoretical and Applied Fluid Mechanics,120,Chakraborty,,
B14,Theoretical and Applied Solid Mechanics,120,Gioia,,
B14,Theoretical and Applied Solid Mechanics,120,Gioia,,
B15,Immunology,120,Ishikawa,,
B15,Immunology,120,Ishikawa,,
B20,Introductory Evolutionary Developmental Biology,120,Watanabe,,
B20,Introductory Evolutionary Developmental Biology,120,Watanabe,,
B21, Biophysics of Cellular Membranes,120,Kusumi,,
B21, Biophysics of Cellular Membranes,120,Kusumi,,
B23,Molecular Evolution,120,Bourguignon,,
B23,Molecular Evolution,120,Bourguignon,,
SC,Skill Clinic,90,Gillet,1,960
JP1,Japanese 1,60,Yamakawa,0,960
JP1,Japanese 1,60,Yamakawa,2,960
PD1,Professional Development 1,240,Skoglund,4,840
PD2,Professional Development 2,240,Arbuthnott,4,840
SA,Student Activities,60,\,4,780
