course ID, name, length, teacher, possible days, possible start time
A101,Adaptive Systems,120,Doya,,
A101,Adaptive Systems,120,Doya,,
A102,Mathematical Methods of Natural Sciences,120,Miller,,
A102,Mathematical Methods of Natural Sciences,120,Miller,,
A103,Stochastic Processes and Applications,120, Pigolotti,,
A103,Stochastic Processes and Applications,120, Pigolotti,,
A202,Fluid Dynamics,120,Mitarai,,
A202,Fluid Dynamics,120,Mitarai,,
A205,Quantum Field Theory,120,Hikami,,
A215,Advanced Experimental Chemistry - Laboratory of Materials Chemistry,180,Zhang,,
A215,Advanced Experimental Chemistry - Laboratory of Materials Chemistry,180,Zhang,,
A218,Condensed Matter,120,Feng,,
A218,Condensed Matter,120,Feng,,
A219, General Relativity,120,Neiman,,
A219, General Relativity,120,Neiman,,
A304,Evolutionary Developmental Biology,120,Satoh,,
A304,Evolutionary Developmental Biology,180,Satoh,,
A308,Epigenetics,120,Saze,,
A308,Epigenetics,120,Saze,,
A312,Sensory Systems,120,Fukunaga,,
A312,Sensory Systems,120,Fukunaga,,
A402,Computational and Mathematical Biology,120,Kitano and Goryanin,,
A402,Computational and Mathematical Biology,120,Kitano and Goryanin,,
A404,Measurement,240,Konstantinov,,
A404,Measurement,240,Konstantinov,,
A405,Emerging Technologies in Life Sciences,120,Maruyama,,
A405,Emerging Technologies in Life Sciences,120,Maruyama,,
A409,Electron Microscopy,60,Wolf,,
A409,Electron Microscopy,180,Wolf,,
B05,Neurobiology,120,Takahashi,1,
B05,Neurobiology,180,Takahashi,1,
B13,Theoretical and Applied Fluid Mechanics,120,Chakraborty,,
B13,Theoretical and Applied Fluid Mechanics,120,Chakraborty,,
B14,Theoretical and Applied Solid Mechanics,120,Gioia,,
B14,Theoretical and Applied Solid Mechanics,120,Gioia,,
B15,Immunology,120,Ishikawa,,
B15,Immunology,120,Ishikawa,,
B20,Introductory Evolutionary Developmental Biology,120,Watanabe,,
B20,Introductory Evolutionary Developmental Biology,120,Watanabe,,
B23,Molecular Evolution,120,Bourguignon,,
B23,Molecular Evolution,120,Bourguignon,,
SC,Skill Clinic,90,Gillet,1,960
JP1,Japanese 1,60,Yamakawa,0,960
JP1,Japanese 1,60,Yamakawa,2,960
PD1,Professional Development 1,240,Skoglund,4,840
PD2,Professional Development 2,240,Arbuthnott,4,840
SA,Student Activities,60,\,4,780
