course ID, name, length, teacher, possible days, possible start time
A206,Analog Electronics,180,Qi,0,840
A208,Bioorganic Chemistry,180,Tanaka,,
A210,Advanced Quantum Mechanics,120,Busch,,
A211,Advances in Atomic Physics,60,Nic Chormaic,,
A214,Nucleic Acid Chemistry and Engineering,120,Yokobayashi,2,
A217,Quantum Mechanics II,120,Konstantinov,0;1;2,
A218,Condensed Matter,120,Feng,,
A273,Ultracold Quantum Gases,60,Busch,,
A303,Develop\-mental Biology,120,Masai,1;2;3;4,
A306,Neuroethology,120,Yazaki-Sugiyama,,
A307,Molecular Oncology and Cell Signaling,120,Yamamoto,2,
A310,Computa\-tional Neuroscience,60,De Schutter,,
A311,Cellular Aging and Human Longevity,120,Yanagida,,
A401,Controversies in Science,180,Arbuthnott,,780;810;840;870;900
A405,Emerging Technologies in Life Sciences,120,Maruyama,,
A410,Molecular Electron Tomography,180,Skoglund,,
B05,Cellular Neurobiology,120,Takahashi,1,
B07,Statistical Methods,120,Fukai,1,
B08,Physics for Life Sciences,60,Kuhn,,
B11,Classical Electrodynamics,120,Shintake,,
B12,Statistical Physics,120,Shannon,,
B16,Ecology and Evolution,120,Economo,,
B20,Introductory Evolutionary Developmental Biology,120,Watanabe,,
JP1,Japanese 1,60,Language Section,,
PD1,Professional Development,120,Skoglund,,
PD2,Professional Development,120,Skoglund,,
SA,Student Activities,60,\,,
