course ID, name, length, teacher, possible days, possible start time
A102,Mathematical Methods for Natural Sciences,,Miller,,
A105,Nonlinear Waves: Theory and Simulation,,Touber,,
A203,Advanced Optics,120,Nic Chormaic,,
A208,Bioorganic Chemistry,180,Tanaka,,
A210,Advanced Quantum Mechanics,120,Busch,,
A214,Nucleic Acid Chemistry and Engineering,120,Yokobayashi,2,
A216,Quantum Mechanics,120,Konstantinov,0;1;2,
A218,Condensed Matter,120,Feng,,
A225,"Statistical Mechanics, Critical Phenomena and Renorm. Groups",120,Toriumi,,
A303,Develop\-mental Biology,120,Masai,1;2;3;4,
A307,Molecular Oncology and Cell Signaling,120,Yamamoto,2,
A401,Controversies in Science,180,Arbuthnott,,780;810;840;870;900
A405,Emerging Technologies in Life Sciences,120,Maruyama,,
A410,Molecular Electron Tomography,180,Skoglund,,
B08,Physics for Life Sciences,60,Kuhn,,
B11,Classical Electrodynamics,120,Shintake,,
B13,Theoretical and Applied Fluid Mechanics,120,Chakraborty,,
B16,Ecology and Evolution,120,Economo,,
B20,Introductory Evolutionary Developmental Biology,120,Watanabe,,
B22,Computational Methods,120,Froese,,
B26,Introduction to Neuroscience,120,Fukunaga,,
B30,Surface Science,,Qi,,
B31/B32,Statistical Tests/\-Modeling,,Fukai,,
B33,Organic photochemistry and electronics,,Kabe,,
JP1,Japanese 1,60,Language Section,,
PCD1,Professional and Career Development,120,Skoglund,,
PCD2,Professional and Career Development,120,Skoglund,,
