course ID, name, length, teacher, possible days, possible start time
A205,Quantum Field Theory,120,Hikami,,
A209,Ultrafast Spectroscopy,120,Dani,,
A209,Ultrafast Spectroscopy,60,Dani,,
A215,Advanced Experimental Chemistry - Laboratory of Materials Chemistry,180,Zhang,,
A215,Advanced Experimental Chemistry - Laboratory of Materials Chemistry,180,Zhang,,
A304,Evolutionary Developmental Biology,120,Satoh,,
A304,Evolutionary Developmental Biology,180,Satoh,,
A308,Epigenetics,120,Saze,,
A308,Epigenetics,120,Saze,,
A404,Measurement,240,Konstantinov,,
A404,Measurement,240,Konstantinov,,
A405,Emerging Technologies in Life Sciences,120,Maruyama,,
A405,Emerging Technologies in Life Sciences,120,Maruyama,,
A410,Molecular Electron Tomography,120,Skoglund,,
A410,Molecular Electron Tomography,180,Skoglund,,
B05,Neurobiology,120,Arbuthnott and Takahashi,1,
B05,Neurobiology,180,Arbuthnott and Takahashi,1,
B07,Statistical Methods,120,Doya,1,
B07,Statistical Methods,120,Doya,3,
B13,Theoretical and Applied Fluid Mechanics,120,Chakraborty,,
B13,Theoretical and Applied Fluid Mechanics,120,Chakraborty,,
B15,Immunology,120,Ishikawa,,
B15,Immunology,120,Ishikawa,,
B19,Methods of Mathematical Modeling II,90,Fried,2,540
B19,Methods of Mathematical Modeling II,90,Fried,4,540
B20,Introductory Evolutionary Developmental Biology,120,Watanabe,,
B20,Introductory Evolutionary Developmental Biology,120,Watanabe,,
SC,Skill Clinic,90,Gillet,1,960
JP1,Japanese 1,60,Yamakawa,0,960
JP1,Japanese 1,60,Yamakawa,2,960
PD1,Professional Development 1,240,Wickens,4,840
PD2,Professional Development 2,240,Arbuthnott,4,840
SA,Student Activities,60,\,4,780
