course ID, name, length, teacher, possible days, possible start time
A102,Mathematical Methods for Natural Sciences,,Miller,,
A105,Nonlinear Waves: Theory and Simulation,,Touber,,
A208,Bioorganic Chemistry,180,Tanaka,,
A211,Advances in Atomic Physics,60,Nic Chormaic,,
A214,Nucleic Acid Chemistry and Engineering,120,Yokobayashi,2,
A218,Condensed Matter,120,Feng,,
A225,"Statistical Mechanics, Critical Phenomena and Renorm. Groups",120,Toriumi,,
A228,Quantum Many-body Physics,,Hoehn,,
A273,Ultracold Quantum Gases,60,Busch,,
A303,Develop\-mental Biology,120,Masai,1;2;3;4,
A306,Neuroethology,120,Yazaki-Sugiyama,,
A307,Molecular Oncology and Cell Signaling,120,Yamamoto,2,
A310,Computa\-tional Neuroscience,60,De Schutter,,
A405,Emerging Technologies in Life Sciences,120,Maruyama,,
A410,Molecular Electron Tomography,180,Skoglund,,
B08,Physics for Life Sciences,60,Kuhn,,
B11,Classical Electrodynamics,120,Shintake,,
B13,Theoretical and Applied Fluid Mechanics,120,Chakraborty,,
B20,Introductory Evolutionary Developmental Biology,120,Watanabe,,
B22,Computational Methods,120,Doya,,
B31/B32,Statistical Tests/\-Modeling,,Fukai,,
B37,Intro to embodied cognitive science,,Froese,,
ST1,Ordinary Differential Equations,,Kijowski,,
ST2,Fourier Transform,,Wilken,,
ST3,Cerebral Cortical Networks,,Gamanut,,
PCD,Professional and Career Development,,Skoglund,,
