Day,Start time,End time,Course ID,Room
Monday,9:00,11:00,A104,B700
Monday,10:00,12:00,A313,B711
Monday,10:00,12:00,A106,B714a
Monday,13:00,17:30,A220,B506
Monday,13:00,15:00,B28,B714a
Tuesday,10:00,12:00,A101,B714a
Tuesday,10:00,12:00,B05,B715
Tuesday,13:00,17:30,A220,B506
Tuesday,13:00,16:00,B05,B715/Lab
Tuesday,13:00,15:00,A219,B700
Tuesday,15:00,17:00,B12,B700
Wednesday,9:00,11:00,A104,B700
Wednesday,10:00,12:00,A313,B711
Wednesday,10:00,12:00,A106,B714a
Wednesday,13:00,15:00,B27,B711
Wednesday,13:00,15:00,B28,B714a
Thursday,10:00,12:00,A101,B714a
Thursday,13:00,15:00,B27,B711
Thursday,15:00,16:00,B12,B700
Friday,10:00,12:00,B28,B714a
Friday,10:00,12:00,A219,B700
Friday,13:00,14:00,B12,B700
Friday,14:00,16:00,PCD1,B700
Friday,14:00,16:00,PCD2,C700
