Day,Start time,End time,Course ID,Room
Monday,10:00,12:00,A405,B715
Monday,10:00,12:00,B14,B714b
Monday,10:00,12:00,B20,B712
Monday,10:00,11:30,A407,B714a
Monday,11:00,12:00,B25,B711
Monday,13:00,15:00,A405,B715
Monday,13:00,15:00,A101,B717
Monday,13:00,16:00,A409,B712
Monday,13:00,14:30,A407,B714a
Monday,14:00,16:00,B13,B700
Monday,15:00,17:00,B15,B714a
Monday,16:00,17:00,JP1,C600
Tuesday,10:00,12:00,A312,B715
Tuesday,10:00,12:00,A103,B700
Tuesday,10:00,12:00,A409,B712
Tuesday,13:00,16:00,B05,B715/Lab
Tuesday,13:00,15:00,B21,B712
Tuesday,13:00,16:00,A215,B711/B507
Tuesday,15:00,17:00,A223,B712
Tuesday,16:00,17:30,SC,B700
Wednesday,10:00,12:00,B25,B711
Wednesday,10:00,12:00,A304,B700
Wednesday,10:00,12:00,B14,B714b
Wednesday,10:00,12:00,B21,B712
Wednesday,13:00,15:00,A205,B712
Wednesday,13:00,15:00,A308,B711
Wednesday,13:00,15:00,B05,B715
Wednesday,13:00,16:00,A304,B700
Wednesday,15:00,17:00,B15,B714a
Wednesday,15:00,17:00,A223,B712
Wednesday,16:00,17:00,JP1,C600
Thursday,10:00,12:00,A103,B700
Thursday,10:00,12:00,A308,B711
Thursday,10:00,12:00,B20,B712
Thursday,13:00,16:00,A215,B711/B507
Thursday,13:00,15:00,A101,B717
Thursday,14:00,16:00,B13,B700
Thursday,14:00,16:00,B23,B712
Friday,10:00,12:00,B23,B712
Friday,10:00,12:00,A312,B715
Friday,11:00,12:00,B25,B711
Friday,13:00,14:00,SA,B700
Friday,14:00,16:00,PD1,B700
Friday,14:00,16:00,PD2,C700
