Day,Start time,End time,Course ID,Room
Monday,10:00,12:00,A212,B702
Monday,10:00,12:00,A313,B711
Monday,11:00,12:00,B25,B712
Monday,14:00,16:00,A314,B715
Monday,16:00,17:00,JP1,C600
Tuesday,9:00,11:00,A104,B700
Tuesday,10:00,12:00,A216,B717
Tuesday,10:00,12:00,B26,B701
Tuesday,10:00,12:00,B27,B711
Tuesday,13:00,16:00,A213,B506
Tuesday,13:00,15:00,A219,B714a
Tuesday,13:00,15:00,B22,B700
Wednesday,10:00,12:00,A212,B702
Wednesday,10:00,12:00,A313,B711
Wednesday,10:00,12:00,B25,B712
Wednesday,11:00,12:00,A314,B715
Wednesday,13:00,17:30,A314,B506/B508
Wednesday,16:00,17:00,JP1,C600
Thursday,9:00,10:00,B25,B715
Thursday,10:00,12:00,A216,B717
Thursday,10:00,12:00,B26,B701
Thursday,10:00,12:00,B27,B711
Thursday,13:00,15:00,B22,B700
Thursday,13:00,15:00,A219,B714a
Friday,9:00,11:00,A104,B700
Friday,10:00,12:00,A216,B717
Friday,10:00,12:00,A213,B715
Friday,14:00,16:00,PD1,B700
Friday,14:00,16:00,PD2,C700
