Day,Start time,End time,Course ID,Room
Monday,9:00,12:30,A405,B700
Monday,13:00,15:50,A215,B715/B507
Monday,13:00,15:50,B05,B711/Lab
Monday,14:00,15:50,B13,B700
Monday,16:00,17:00,JP1,C600
Tuesday,10:00,12:00,B20,B712
Tuesday,10:00,12:00,B05,B711
Tuesday,10:00,12:00,A410,B714a
Tuesday,13:00,15:00,B15,B712
Tuesday,13:00,15:00,A404,B700
Tuesday,13:00,16:00,A215,B715/B507
Tuesday,14:00,16:00,B07,B711
Tuesday,16:00,17:30,SC,B700
Wednesday,9:00,10:30,B19,B700
Wednesday,10:00,12:00,A205,B714a
Wednesday,10:00,12:00,A304,B715
Wednesday,13:00,17:00,A404,B702a
Wednesday,13:00,15:50,A410,B714a
Wednesday,13:00,15:50,A304,B715
Wednesday,16:00,17:00,JP1,C600
Thursday,10:00,12:00,B15,B712
Thursday,13:00,14:00,A209,B711
Thursday,14:00,16:00,B13,B700
Thursday,14:00,16:00,B07,B711
Thursday,14:00,16:00,A308,B715
Friday,9:00,10:30,B19,B700
Friday,10:00,12:00,B20,B712
Friday,10:00,12:00,A308,B715
Friday,10:00,12:00,A209,B711
Friday,13:00,14:00,SA,B700
Friday,14:00,16:00,PD1,B700
Friday,14:00,16:00,PD2,C700
