Day,Start time,End time,Course ID,Room
Monday,9:00,10:00,A206,B712
Monday,9:00,12:00,A215,B711/B506
Monday,9:00,12:00,A409,B715
Monday,10:00,12:00,B23,B712
Monday,14:00,17:00,A206,B702a
Monday,13:00,15:00,A308,B711/B506
Monday,13:00,14:00,A224,B700
Monday,16:00,17:00,JP1,C600
Monday,15:00,17:00,B15,B700
Monday,15:00,17:00,B14,B712
Tuesday,9:00,12:00,A215,B711/B506
Tuesday,10:00,12:00,A409,B715
Tuesday,10:00,12:00,A103,B700
Tuesday,13:00,15:00,B21,B712
Tuesday,13:00,15:00,A102,B711
Tuesday,13:00,15:00,A209,B715/B507
Tuesday,15:00,17:00,B13,B714a
Wednesday,9:00,10:00,A206,B712
Wednesday,10:00,12:00,B21,B712
Wednesday,10:00,12:00,A304,B715
Wednesday,13:00,14:00,A224,B700
Wednesday,14:00,17:00,A206,B702a
Wednesday,13:00,15:00,A205,B714b
Wednesday,13:00,16:00,A304,B715
Wednesday,15:00,17:00,B14,B712
Wednesday,15:00,17:00,A223,B711
Wednesday,16:00,17:00,JP1,C600
Thursday,10:00,12:00,A308,B711/B506
Thursday,10:00,12:00,A103,B700
Thursday,10:00,12:00,A209,B715/B507
Thursday,10:00,12:00,B24,B712
Thursday,13:00,15:00,A102,B711
Thursday,13:00,15:00,B23,B712
Thursday,15:00,17:00,B15,B700
Thursday,15:00,17:00,A223,B711
Thursday,15:00,17:00,B13,B714a
Friday,10:00,12:00,B24,B712
Friday,13:00,14:00,A224,B700
Friday,14:00,16:00,PD1,B700
Friday,14:00,16:00,PD2,C700
