Day,Start time,End time,Course ID,Room
Monday,9:00,12:00,B08,B700
Monday,10:00,12:00,A203,B715
Monday,13:00,15:00,A214,B711
Monday,13:00,15:00,A310,B715
Monday,13:00,16:00,B11,B714a
Monday,15:00,16:00,A210,B712
Monday,16:00,17:00,JP1,C600
Tuesday,10:00,12:00,A222,B711
Tuesday,10:00,12:00,B16,B700
Tuesday,10:00,12:00,A210,B712
Tuesday,13:00,16:00,A208,B711
Tuesday,13:00,15:00,B07,B700
Tuesday,16:00,17:00,A203,B715
Tuesday,16:00,17:30,SC,\
Wednesday,10:00,12:00,A307,B715
Wednesday,10:00,12:00,A214,B711
Wednesday,10:00,12:00,B16,B700
Wednesday,10:00,12:00,A217,B712
Wednesday,13:00,14:00,A307,B715
Wednesday,14:00,16:00,A407,B714a
Wednesday,14:00,18:00,A203,B507 or B715
Wednesday,16:00,17:00,JP1,C600
Thursday,9:00,11:00,A311,B711
Thursday,9:00,11:00,B08,B700
Thursday,10:00,12:00,A217,B712
Thursday,11:00,12:00,A310,B715
Thursday,11:00,12:00,A410,B711
Thursday,13:00,15:00,A218,B712
Thursday,13:00,15:00,A208,B711
Thursday,13:00,16:00,A410,Unit Lab
Thursday,13:00,15:00,B07,B700
Thursday,15:00,17:00,A407,B714a
Friday,10:00,12:00,A222,B711
Friday,10:00,12:00,A303,B700
Friday,10:00,12:00,A218,B712
Friday,13:00,14:00,SA,B700
Friday,14:00,17:00,PD1,B700
Friday,14:00,17:00,PD2,C700
