Day,Start time,End time,Course ID,Room
Monday,9:00,12:00,B08,B715 B506/B508
Monday,11:00,12:00,B12,B700
Monday,13:00,15:00,A214,B711
Monday,13:00,15:00,A310,B714a
Monday,13:00,16:00,B11,B700
Monday,15:00,16:00,A273,B715
Monday,16:00,17:00,JP1,C600
Tuesday,10:00,12:00,A211,B711
Tuesday,10:00,12:00,B05,B700
Tuesday,10:00,12:00,B16,B715
Tuesday,13:00,14:00,A211,B711
Tuesday,13:00,16:00,B05,B700/Lab
Tuesday,13:00,16:00,A208,B712
Tuesday,13:00,16:00,A401,B715
Tuesday,14:00,16:00,B07,B711
Tuesday,16:00,17:00,B12,B700
Wednesday,10:00,12:00,A214,B711
Wednesday,10:00,12:00,A217,B700
Wednesday,10:00,12:00,A405,B712
Wednesday,10:00,12:00,A307,B714a
Wednesday,13:00,15:00,A273,B715
Wednesday,13:00,15:00,A405,B712
Wednesday,13:00,14:00,A307,B714a
Wednesday,15:00,17:00,B08,B715 B506/B508
Wednesday,16:00,17:00,JP1,C600
Thursday,9:00,10:00,A410,B711
Thursday,9:00,11:00,A311,B714a
Thursday,10:00,12:00,B16,B715
Thursday,10:00,12:00,B07,B712
Thursday,10:00,12:00,A217,B700
Thursday,10:00,12:00,A211,B711
Thursday,11:00,12:00,A310,B714a
Thursday,13:00,16:00,A410,Unit Lab
Thursday,13:00,15:00,B20,B715
Thursday,13:00,15:00,B12,B700
Thursday,13:00,15:00,A208,B712
Thursday,13:00,15:00,A218,B711
Friday,10:00,12:00,A303,B712
Friday,10:00,12:00,A218,B711
Friday,10:00,12:00,B20,B715
Friday,14:00,17:00,PD1,B700
Friday,14:00,17:00,PD2,C700
