Day,Start time,End time,Course ID,Room
Monday,9:00,11:00,A104,B700
Monday,10:00,12:00,A313,B711
Monday,10:00,12:00,A319,B712
Monday,13:00,17:30,A220,B506
Monday,13:00,15:00,A213,B712
Monday,13:00,15:00,B24,B700
Monday,15:00,17:00,B29,B700
Tuesday,9:00,12:00,B36,B712
Tuesday,10:00,12:00,B35,B711
Tuesday,10:00,12:00,B05,B700
Tuesday,13:00,17:30,A220,B506
Tuesday,13:00,17:00,B33,Unit Lab
Tuesday,13:00,17:00,B05,Unit Lab
Tuesday,13:00,15:00,A219,B700
Wednesday,9:00,11:00,A104,B700
Wednesday,10:00,12:00,A313,B711
Wednesday,13:00,17:00,A213,B506
Wednesday,13:00,15:00,B27,B711
Wednesday,15:00,17:00,B29,B700
Wednesday,15:00,17:00,B12,B711
Thursday,9:00,11:00,A219,B700
Thursday,11:00,12:00,B12,B700
Thursday,10:00,12:00,B35,B711
Thursday,13:00,17:00,A319,B506
Thursday,13:00,15:00,B24,B700
Thursday,13:00,15:00,B27,B711
Thursday,15:00,17:00,B29,B700
Friday,11:00,12:00,B12,B700
Friday,13:00,14:00,ST,L4F15
Friday,14:00,16:00,PCD,B700
