Day,Start time,End time,Course ID,Room
Monday,9:00,12:00,B08,B700
Monday,10:00,12:00,A207,B712
Monday,13:00,15:00,A214,B711
Monday,13:00,15:00,A310,B712
Monday,13:00,16:00,B11,B714a
Monday,15:00,16:00,A273,B712
Monday,16:00,17:00,JP1,C600
Tuesday,10:00,12:00,B16,B712
Tuesday,10:00,12:00,B12,B700
Tuesday,13:00,15:00,B09,B715
Tuesday,13:00,16:00,A208,B711
Tuesday,14:00,16:00,A212,B700
Tuesday,14:00,16:00,B07,B712
Tuesday,16:00,17:30,SC,\
Tuesday,17:00,18:00,A211,B712
Wednesday,9:00,11:00,A273,B712
Wednesday,9:00,11:00,A214,B711
Wednesday,10:00,12:00,A217,B700
Wednesday,11:00,12:00,A307,B715
Wednesday,13:00,15:00,A307,B715
Wednesday,13:00,15:00,B16,B712
Wednesday,14:00,16:00,A208,B711
Wednesday,15:00,16:30,ST,B700
Wednesday,16:00,17:00,JP1,C600
Thursday,9:00,11:00,A311,B711
Thursday,9:00,11:00,B08,B700
Thursday,10:00,12:00,A217,B715
Thursday,11:00,12:00,A310,B712
Thursday,11:00,12:00,A410,B711
Thursday,13:00,15:00,B09,B715
Thursday,13:00,14:00,B12,B700
Thursday,13:00,16:00,A410,Unit Lab
Thursday,14:00,16:00,B07,B712
Thursday,14:00,16:00,A212,B700
Friday,9:00,11:00,A303,B711
Friday,11:00,12:00,B12,B700
Friday,13:00,14:00,SA,B700
Friday,14:00,17:00,PD1,B700
Friday,14:00,17:00,PD2,C700
Friday,17:00,18:00,A211,B712
